school_cap,mean,count,std,ci95_hi,ci95_lo,interven_eff
0,47.964999973773956,10,1.1957537800297624,48.70235453957571,47.227645407972204,0%
15,49.15099948644638,10,1.3582704445813147,49.98856900170284,48.31342997118992,0%
25,50.203999280929565,10,1.0432873064408377,50.84733628867711,49.56066227318202,0%
35,51.576000452041626,10,0.6446572620684983,51.973524577411006,51.178476326672246,0%
55,53.415000438690186,10,0.9058725663370821,53.97360145169018,52.85639942569019,0%
100,56.52899980545044,10,0.5642197246935342,56.876922594461256,56.18107701643962,0%
0,28.558000028133392,10,3.3702419250428406,30.636239974173932,26.479760082092852,20%
15,33.37099999189377,10,1.2120728085356867,34.118417591055106,32.62358239273243,20%
25,34.74500000476837,10,1.8421741029274306,35.88096587707486,33.609034132461886,20%
35,35.18900007009506,10,1.6703124894536898,36.218988484920494,34.15901165526963,20%
55,40.06500005722046,10,1.8499206649509004,41.20574280163278,38.92425731280814,20%
100,45.09799987077713,10,1.0419193415390973,45.740493330979184,44.455506410575076,20%
0,5.256999973207712,10,1.593556761708365,6.239657418021035,4.274342528394389,40%
15,6.17900000885129,10,3.3309740442460405,8.233025646161684,4.124974371540896,40%
25,6.92799998447299,10,4.216298604610181,9.527955827234777,4.328044141711203,40%
35,9.045000039041042,10,4.881018178299518,12.054851314142946,6.035148763939139,40%
55,13.577000014483929,10,4.0413722821589735,16.069088564921458,11.0849114640464,40%
100,26.504999697208405,10,3.3229577193568254,28.554082114721606,24.455917279695203,40%
0,1.3149999966844916,10,0.7426865615934557,1.7729733155201708,0.8570266778488125,60%
15,1.0029999911785126,10,0.38704148493729684,1.2416668562467565,0.7643331261102686,60%
25,1.3039999990724027,10,0.7575721551103112,1.7711524319762382,0.8368475661685673,60%
35,1.3199999881908298,10,0.7127099904540154,1.7594884299841822,0.8805115463974772,60%
55,1.5169999934732914,10,0.8893824194227434,2.0654324539492652,0.9685675329973176,60%
100,3.4169999975711107,10,1.6772335107282863,4.451256219634169,2.382743775508052,60%
